TRK_VERSION,0.5
Images,ExpID2976_P3_TL01.png,,ExpID2976_P3_TL02.png,,ExpID2976_P3_TL03.png,,ExpID2976_P3_TL04.png,,ExpID2976_P3_TL05.png,,ExpID2976_P3_TL06_grey_adj.png,,ExpID2976_P3_TL07_grey_adj.png,
Point 73,,,0.00010843,0.00010857,0.00013769,0.00010689,0.00023653,0.00017605,0.00028931,0.00018963,0.00033859,0.00015547,0.00038619,0.00013307
Point 74,,,,,0.00014238,0.00012656,0.00024472,0.00020538,0.00030128,0.0002317,0.00035672,0.00021238,0.000406,0.00020174
Point 75,,,,,0.00015904,0.00013076,0.00026376,0.00021112,0.00032466,0.00023996,0.0003871,0.00022176,0.00044478,0.0002142
Point 76,,,,,0.00016184,0.00012838,0.0002688,0.00020874,0.00033012,0.00023646,0.00039396,0.0002163,0.00045388,0.00020566
Point 77,,,,,0.00017374,0.0001316,0.00028574,0.00021322,0.0003514,0.00024248,0.0004158,0.000224,0.00048048,0.00021784
Point 78,,,,,0.00017612,0.00012236,0.00028812,0.00019796,0.0003556,0.00022106,0.00042252,0.00019334,0.00048804,0.00017514
Point 79,,,,,0.00016142,0.00012474,0.00026824,0.00020244,0.00033068,0.0002282,0.00039396,0.00020468,0.0004536,0.00019292
Point 80,,,,,0.0001351,7.945e-05,0.0002338,0.00013755,0.00028392,0.00013909,0.00033236,9.597e-05,0.00038136,6.125e-05
Point 81,,,,,0.00012817,9.338e-05,0.00022631,0.00015512,0.00027615,0.00016114,0.00032123,0.00012054,0.00036351,9.198e-05
Point 82,,,,,0.00014224,8.694e-05,0.00024318,0.00014756,0.0002968,0.00015316,0.00035,0.00011228,0.00040236,8.12e-05
Point 83,,,,,0.00015568,8.792e-05,0.00025914,0.00014882,0.00031836,0.0001547,0.00037688,0.00011326,0.00043232,8.134e-05
Point 84,,,,,0.00015596,7.686e-05,0.000259,0.00013426,0.0003178,0.00013608,0.00037408,9.156e-05,0.00042952,5.796e-05
Point 85,,,,,0.00016912,7.28e-05,0.0002751,0.0001302,0.00033796,0.00013146,0.00039536,8.61e-05,0.00045136,4.998e-05
